ts,label,agent_url,device,cpu_percent_avg,mem_used_mb_peak,mem_used_mb_avg,net_kbps,accept_latency_ms,throughput_tx_s,total,elapsed_s
2025-09-24T06:53:57.381542,RQ3.1_L3,local,ESP32,4.3,6677.42,6675.58,4683.26,406.673,2.46,,0.407
2025-09-24T06:53:59.424032,RQ3.1_L3,local,ESP32,6.15,6693.13,6692.36,4525.57,415.214,2.41,,0.415
2025-09-24T06:54:01.465289,RQ3.1_L3,local,ESP32,6.35,6719.79,6719.79,4407.71,391.103,2.56,,0.391
2025-09-24T06:54:03.511156,RQ3.1_L3,local,ESP32,5.75,6723.07,6722.71,5175.14,402.265,2.49,,0.402
2025-09-24T06:54:05.557814,RQ3.1_L3,local,ESP32,6.05,6731.83,6731.83,4569.58,403.948,2.48,,0.404
2025-09-24T06:54:07.594240,RQ3.1_L3,local,ESP32,5.9,6710.27,6709.88,4912.53,406.399,2.46,,0.406
2025-09-24T06:54:09.623845,RQ3.1_L3,local,ESP32,6.2,6727.13,6726.07,4109.8,407.017,2.46,,0.407
2025-09-24T06:54:11.649785,RQ3.1_L3,local,ESP32,7.1,6714.83,6713.89,5688.9,404.247,2.47,,0.404
2025-09-24T06:54:13.685774,RQ3.1_L3,local,ESP32,7.0,6714.46,6714.33,5800.02,403.576,2.48,,0.404
2025-09-24T06:54:15.720619,RQ3.1_L3,local,ESP32,6.5,6705.3,6705.21,4654.32,412.235,2.43,,0.412
