ts,label,device,scheme,prover_time_s_avg,prover_cpu_avg,prover_ram_peak_mb,verifier_time_s_avg,verifier_cpu_avg,verifier_ram_peak_mb,proof_size_bytes_avg,bandwidth_kbps_avg,tx_count,repeat_idx
2025-09-24T06:47:23.349067,RQ3.2_costs,RaspberryPi5,stark,0.511661,2.43,28.57,0.098273,0.43,18.7,530133,26563.5,30,1
2025-09-24T06:47:42.220176,RQ3.2_costs,RaspberryPi5,stark,0.527091,0.87,49.7,0.123337,0.71,26.24,516429,24413.3,30,2
2025-09-24T06:48:01.091654,RQ3.2_costs,RaspberryPi5,stark,0.549345,3.31,15.09,0.101627,0.77,12.85,501240,25658.84,30,3
