num_nodes,normal_nodes,relay_nodes,tx_per_block,consensus_mode,throughput_tx_s
100,90,10,512,light,357.8861147966845
100,90,10,1024,light,868.032836393566
100,90,10,2048,light,1658.811956402986
100,90,10,4096,light,3260.525536442631
100,90,10,8192,light,3420.8444454868795
100,90,10,16384,light,3663.6
