num_nodes,normal_nodes,relay_nodes,tx_per_block,consensus_mode,throughput_tx_s
50,45,5,512,light,415.12368314902784
50,45,5,1024,light,921.6
50,45,5,2048,light,1650.7365761669698
50,45,5,4096,light,3556.8527278702486
50,45,5,8192,light,3612.469537079338
50,45,5,16384,light,3836.6
