ts,label,agent_url,device,cpu_percent_avg,mem_used_mb_peak,mem_used_mb_avg,net_kbps,accept_latency_ms,throughput_tx_s,total,elapsed_s
2025-09-24T06:50:37.892693,RQ3.1_L1,local,RaspberryPi5,8.1,6598.14,6590.68,3781.01,310.19,3.22,,0.31
2025-09-24T06:50:39.896700,RQ3.1_L1,local,RaspberryPi5,12.75,6598.76,6582.85,3707.97,313.705,3.19,,0.314
2025-09-24T06:50:41.905596,RQ3.1_L1,local,RaspberryPi5,14.85,6609.65,6599.16,4632.43,311.777,3.21,,0.312
2025-09-24T06:50:43.910631,RQ3.1_L1,local,RaspberryPi5,14.8,6597.75,6591.39,4383.78,308.136,3.25,,0.308
2025-09-24T06:50:45.914334,RQ3.1_L1,local,RaspberryPi5,13.45,6578.42,6574.87,3485.22,319.353,3.13,,0.319
2025-09-24T06:50:47.922621,RQ3.1_L1,local,RaspberryPi5,12.3,6575.32,6573.15,4046.92,313.406,3.19,,0.313
2025-09-24T06:50:49.927520,RQ3.1_L1,local,RaspberryPi5,11.95,6588.27,6581.07,3999.82,318.01,3.14,,0.318
2025-09-24T06:50:51.931012,RQ3.1_L1,local,RaspberryPi5,13.25,6582.33,6572.05,4126.03,317.564,3.15,,0.318
2025-09-24T06:50:53.934369,RQ3.1_L1,local,RaspberryPi5,9.95,6595.78,6585.43,3946.68,303.18,3.3,,0.303
2025-09-24T06:50:55.940727,RQ3.1_L1,local,RaspberryPi5,12.25,6590.4,6586.23,4167.59,322.267,3.1,,0.322
