ts,label,agent_url,device,cpu_percent_avg,mem_used_mb_peak,mem_used_mb_avg,net_kbps,accept_latency_ms,throughput_tx_s,total,elapsed_s
2025-09-24T06:50:58.007393,RQ3.1_L2,local,RaspberryPi5,11.6,6901.11,6895.39,3646.47,312.376,3.2,,0.312
2025-09-24T06:51:00.011199,RQ3.1_L2,local,RaspberryPi5,16.0,6919.02,6904.01,3785.52,318.13,3.14,,0.318
2025-09-24T06:51:02.014562,RQ3.1_L2,local,RaspberryPi5,15.25,6922.23,6911.76,4652.29,315.664,3.17,,0.316
2025-09-24T06:51:04.021797,RQ3.1_L2,local,RaspberryPi5,12.75,6915.21,6913.59,3969.97,313.226,3.19,,0.313
2025-09-24T06:51:06.026738,RQ3.1_L2,local,RaspberryPi5,15.15,6934.98,6922.34,4269.91,318.759,3.14,,0.319
2025-09-24T06:51:08.032854,RQ3.1_L2,local,RaspberryPi5,13.75,6934.86,6934.34,3938.2,330.549,3.03,,0.331
2025-09-24T06:51:10.040873,RQ3.1_L2,local,RaspberryPi5,9.5,6933.31,6933.27,3430.05,311.993,3.21,,0.312
2025-09-24T06:51:12.072752,RQ3.1_L2,local,RaspberryPi5,7.6,6917.14,6917.04,4324.44,363.049,2.75,,0.363
2025-09-24T06:51:14.098510,RQ3.1_L2,local,RaspberryPi5,8.05,6689.65,6689.41,2319.28,355.927,2.81,,0.356
2025-09-24T06:51:16.144346,RQ3.1_L2,local,RaspberryPi5,7.5,6694.13,6693.96,4684.45,405.078,2.47,,0.405
