ts,label,agent_url,device,cpu_percent_avg,mem_used_mb_peak,mem_used_mb_avg,net_kbps,accept_latency_ms,throughput_tx_s,total,elapsed_s
2025-09-24T06:53:36.892589,RQ3.1_L2,local,ESP32,4.2,6698.94,6698.54,2904.25,405.987,2.46,,0.406
2025-09-24T06:53:38.919485,RQ3.1_L2,local,ESP32,8.95,6706.86,6703.0,3586.04,354.508,2.82,,0.355
2025-09-24T06:53:40.951520,RQ3.1_L2,local,ESP32,5.4,6701.59,6701.33,2788.4,404.937,2.47,,0.405
2025-09-24T06:53:43.006357,RQ3.1_L2,local,ESP32,5.35,6710.09,6708.45,3469.15,403.464,2.48,,0.403
2025-09-24T06:53:45.052488,RQ3.1_L2,local,ESP32,5.65,6717.19,6717.07,3375.15,401.67,2.49,,0.402
2025-09-24T06:53:47.103647,RQ3.1_L2,local,ESP32,6.05,6718.99,6718.88,4118.06,403.017,2.48,,0.403
2025-09-24T06:53:49.130112,RQ3.1_L2,local,ESP32,8.25,6724.22,6717.39,3241.13,355.243,2.81,,0.355
2025-09-24T06:53:51.181068,RQ3.1_L2,local,ESP32,6.55,6696.72,6695.85,3108.44,399.938,2.5,,0.4
2025-09-24T06:53:53.223464,RQ3.1_L2,local,ESP32,5.85,6705.75,6705.75,3199.21,410.387,2.44,,0.41
2025-09-24T06:53:55.269570,RQ3.1_L2,local,ESP32,5.85,6689.34,6689.03,4916.65,402.04,2.49,,0.402
