num_nodes,normal_nodes,relay_nodes,tx_per_block,consensus_mode,throughput_tx_s
500,450,50,512,light,282.63173765933794
500,450,50,1024,light,567.3258306990633
500,450,50,2048,light,1096.7809431484982
500,450,50,4096,light,2071.701449249479
500,450,50,8192,light,3091.82042499998
500,450,50,16384,light,6553.6
