ts,label,device,scheme,prover_time_s_avg,prover_cpu_avg,prover_ram_peak_mb,verifier_time_s_avg,verifier_cpu_avg,verifier_ram_peak_mb,proof_size_bytes_avg,bandwidth_kbps_avg,tx_count,repeat_idx
2025-09-24T06:34:58.428768,RQ3.2_costs,RaspberryPi5,groth16,0.362325,0.0,0.0,0.069484,0.0,0.0,196608,13490.54,30,1
2025-09-24T06:35:11.360078,RQ3.2_costs,RaspberryPi5,groth16,0.361306,0.0,0.0,0.069359,0.0,0.0,196608,13517.16,30,2
2025-09-24T06:35:24.492197,RQ3.2_costs,RaspberryPi5,groth16,0.365246,0.0,0.0,0.072033,0.0,0.0,196608,13075.64,30,3
2025-09-24T06:40:04.022547,RQ3.2_costs,RaspberryPi5,groth16,0.363441,1.19,14.44,0.067509,0.22,9.29,197704,14176.25,30,1
2025-09-24T06:40:17.116724,RQ3.2_costs,RaspberryPi5,groth16,0.368337,0.43,24.22,0.074976,0.36,14.24,195134,13650.77,30,2
2025-09-24T06:40:30.209300,RQ3.2_costs,RaspberryPi5,groth16,0.376066,1.6,8.89,0.068102,0.43,6.63,192286,14001.47,30,3
