ts,label,device,scheme,prover_time_s_avg,prover_cpu_avg,prover_ram_peak_mb,verifier_time_s_avg,verifier_cpu_avg,verifier_ram_peak_mb,proof_size_bytes_avg,bandwidth_kbps_avg,tx_count,repeat_idx
2025-09-24T06:46:26.770003,RQ3.2_costs,RaspberryPi5,stark,0.512542,1.8,21.54,0.101282,0.32,13.98,528672,25706.35,30,1
2025-09-24T06:46:45.556874,RQ3.2_costs,RaspberryPi5,stark,0.522934,0.65,36.81,0.119166,0.53,20.52,518393,24241.88,30,2
2025-09-24T06:47:04.416826,RQ3.2_costs,RaspberryPi5,stark,0.540776,2.44,12.32,0.104205,0.61,9.79,507002,24943.94,30,3
