ts,label,agent_url,device,cpu_percent_avg,mem_used_mb_peak,mem_used_mb_avg,net_kbps,accept_latency_ms,throughput_tx_s,total,elapsed_s
2025-09-24T06:53:16.378460,RQ3.1_L1,local,ESP32,30.8,6700.4,6696.95,5854.16,355.382,2.81,,0.355
2025-09-24T06:53:18.427517,RQ3.1_L1,local,ESP32,8.0,6667.3,6667.17,5183.18,384.018,2.6,,0.384
2025-09-24T06:53:20.479596,RQ3.1_L1,local,ESP32,5.85,6706.73,6705.51,4585.25,399.722,2.5,,0.4
2025-09-24T06:53:22.514718,RQ3.1_L1,local,ESP32,6.6,6700.68,6700.54,6000.82,400.925,2.49,,0.401
2025-09-24T06:53:24.561942,RQ3.1_L1,local,ESP32,6.0,6691.26,6690.04,4935.48,398.836,2.51,,0.399
2025-09-24T06:53:26.603533,RQ3.1_L1,local,ESP32,6.05,6690.78,6687.55,5017.16,402.312,2.49,,0.402
2025-09-24T06:53:28.640903,RQ3.1_L1,local,ESP32,6.7,6684.25,6683.33,5462.11,368.399,2.71,,0.368
2025-09-24T06:53:30.681743,RQ3.1_L1,local,ESP32,6.2,6687.21,6685.7,5327.26,400.803,2.49,,0.401
2025-09-24T06:53:32.733525,RQ3.1_L1,local,ESP32,6.2,6689.87,6689.87,3741.77,398.374,2.51,,0.398
2025-09-24T06:53:34.779103,RQ3.1_L1,local,ESP32,5.95,6697.57,6696.97,5595.37,409.615,2.44,,0.41
