ts,label,agent_url,device,cpu_percent_avg,mem_used_mb_peak,mem_used_mb_avg,net_kbps,accept_latency_ms,throughput_tx_s,total,elapsed_s
2025-09-24T06:51:18.248215,RQ3.1_L3,local,RaspberryPi5,4.85,6642.74,6640.96,1610.6,369.463,2.71,,0.369
2025-09-24T06:51:20.288468,RQ3.1_L3,local,RaspberryPi5,7.8,6646.08,6646.08,4598.32,389.58,2.57,,0.39
2025-09-24T06:51:22.331602,RQ3.1_L3,local,RaspberryPi5,8.65,6643.86,6643.73,8038.61,373.071,2.68,,0.373
2025-09-24T06:51:24.377607,RQ3.1_L3,local,RaspberryPi5,7.7,6629.33,6628.85,5456.59,399.12,2.51,,0.399
2025-09-24T06:51:26.409590,RQ3.1_L3,local,RaspberryPi5,11.85,6636.43,6632.56,9694.16,364.969,2.74,,0.365
2025-09-24T06:51:28.413030,RQ3.1_L3,local,RaspberryPi5,11.85,6643.68,6632.65,5937.59,316.049,3.16,,0.316
2025-09-24T06:51:30.448280,RQ3.1_L3,local,RaspberryPi5,9.9,6622.94,6621.96,5803.61,368.914,2.71,,0.369
2025-09-24T06:51:32.488951,RQ3.1_L3,local,RaspberryPi5,7.95,6642.69,6642.57,5217.97,406.988,2.46,,0.407
2025-09-24T06:51:34.528626,RQ3.1_L3,local,RaspberryPi5,10.1,6611.93,6611.09,6250.45,384.896,2.6,,0.385
2025-09-24T06:51:36.568178,RQ3.1_L3,local,RaspberryPi5,9.45,6635.57,6632.06,5583.43,402.972,2.48,,0.403
