ts,label,device,scheme,prover_time_s_avg,prover_cpu_avg,prover_ram_peak_mb,verifier_time_s_avg,verifier_cpu_avg,verifier_ram_peak_mb,proof_size_bytes_avg,bandwidth_kbps_avg,tx_count,repeat_idx
2025-09-24T06:35:37.617561,RQ3.2_costs,RaspberryPi5,groth16,0.363946,0.0,0.0,0.07104,0.0,0.0,196608,13233.21,30,1
2025-09-24T06:40:43.350277,RQ3.2_costs,RaspberryPi5,groth16,0.361674,1.8,21.54,0.06474,0.32,13.98,198252,14831.99,30,1
2025-09-24T06:40:56.435052,RQ3.2_costs,RaspberryPi5,groth16,0.369741,0.65,36.81,0.076946,0.53,20.52,194397,13864.29,30,2
2025-09-24T06:41:09.517090,RQ3.2_costs,RaspberryPi5,groth16,0.381982,2.44,12.32,0.066019,0.61,9.79,190125,14497.48,30,3
