ts,label,device,scheme,prover_time_s_avg,prover_cpu_avg,prover_ram_peak_mb,verifier_time_s_avg,verifier_cpu_avg,verifier_ram_peak_mb,proof_size_bytes_avg,bandwidth_kbps_avg,tx_count,repeat_idx
2025-09-24T06:41:22.680513,RQ3.2_costs,RaspberryPi5,groth16,0.361237,2.43,28.57,0.062764,0.43,18.7,198800,15333.56,30,1
2025-09-24T06:41:35.780587,RQ3.2_costs,RaspberryPi5,groth16,0.372139,0.87,49.7,0.078725,0.71,26.24,193660,14100.08,30,2
2025-09-24T06:41:48.887389,RQ3.2_costs,RaspberryPi5,groth16,0.387799,3.31,15.09,0.065108,0.77,12.85,187965,14773.52,30,3
